Region,Year,Month,MonthNum,Date,Metric,Value
East_Siberian,1983,May,5,1983-05-01,extent,1302584.622
East_Siberian,1984,May,5,1984-05-01,extent,1303711.475
East_Siberian,1985,May,5,1985-05-01,extent,1303711.475
East_Siberian,1986,May,5,1986-05-01,extent,1303268.604
East_Siberian,1987,May,5,1987-05-01,extent,1303711.475
East_Siberian,1988,May,5,1988-05-01,extent,1303711.475
East_Siberian,1989,May,5,1989-05-01,extent,1303711.475
East_Siberian,1990,May,5,1990-05-01,extent,1233828.408
East_Siberian,1991,May,5,1991-05-01,extent,1301150.506
East_Siberian,1992,May,5,1992-05-01,extent,1303711.475
East_Siberian,1993,May,5,1993-05-01,extent,1301323.351
East_Siberian,1994,May,5,1994-05-01,extent,1303711.475
East_Siberian,1995,May,5,1995-05-01,extent,1303691.215
East_Siberian,1996,May,5,1996-05-01,extent,1303711.475
East_Siberian,1997,May,5,1997-05-01,extent,1303711.475
East_Siberian,1998,May,5,1998-05-01,extent,1303711.475
East_Siberian,1999,May,5,1999-05-01,extent,1303711.475
East_Siberian,2000,May,5,2000-05-01,extent,1303711.475
East_Siberian,2001,May,5,2001-05-01,extent,1303711.475
East_Siberian,2002,May,5,2002-05-01,extent,1303711.475
East_Siberian,2003,May,5,2003-05-01,extent,1303711.475
East_Siberian,2004,May,5,2004-05-01,extent,1303711.475
East_Siberian,2005,May,5,2005-05-01,extent,1303610.528
East_Siberian,2006,May,5,2006-05-01,extent,1303650.116
East_Siberian,2007,May,5,2007-05-01,extent,1303399.302
East_Siberian,2008,May,5,2008-05-01,extent,1303711.475
East_Siberian,2009,May,5,2009-05-01,extent,1303711.475
East_Siberian,2010,May,5,2010-05-01,extent,1303690.642
East_Siberian,2011,May,5,2011-05-01,extent,1303711.475
East_Siberian,2012,May,5,2012-05-01,extent,1303711.475
East_Siberian,2013,May,5,2013-05-01,extent,1303711.475
East_Siberian,2014,May,5,2014-05-01,extent,1294803.584
East_Siberian,2015,May,5,2015-05-01,extent,1303711.475
East_Siberian,2016,May,5,2016-05-01,extent,1303711.475
East_Siberian,2017,May,5,2017-05-01,extent,1292560.331
East_Siberian,2018,May,5,2018-05-01,extent,1303378.25
East_Siberian,2019,May,5,2019-05-01,extent,1303711.475
East_Siberian,2020,May,5,2020-05-01,extent,1301007.154
East_Siberian,2021,May,5,2021-05-01,extent,1303066.62
East_Siberian,2022,May,5,2022-05-01,extent,1303711.475
East_Siberian,2023,May,5,2023-05-01,extent,1303711.475
East_Siberian,2024,May,5,2024-05-01,extent,1303711.475
East_Siberian,1979,Jun,6,1979-06-01,extent,1301380.461
East_Siberian,1980,Jun,6,1980-06-01,extent,1294736.34
East_Siberian,1981,Jun,6,1981-06-01,extent,1299110.162
East_Siberian,1982,Jun,6,1982-06-01,extent,1293063.199
East_Siberian,1983,Jun,6,1983-06-01,extent,1301507.212
East_Siberian,1984,Jun,6,1984-06-01,extent,1301221.739
East_Siberian,1985,Jun,6,1985-06-01,extent,1301628.569
East_Siberian,1986,Jun,6,1986-06-01,extent,1280144.183
East_Siberian,1987,Jun,6,1987-06-01,extent,1299792.81
East_Siberian,1988,Jun,6,1988-06-01,extent,1303500.475
East_Siberian,1989,Jun,6,1989-06-01,extent,1300732.027
East_Siberian,1990,Jun,6,1990-06-01,extent,1118197.717
East_Siberian,1991,Jun,6,1991-06-01,extent,1291724.71
East_Siberian,1992,Jun,6,1992-06-01,extent,1302176.554
East_Siberian,1993,Jun,6,1993-06-01,extent,1298978.477
East_Siberian,1994,Jun,6,1994-06-01,extent,1303369.162
East_Siberian,1995,Jun,6,1995-06-01,extent,1299495.003
East_Siberian,1996,Jun,6,1996-06-01,extent,1303711.475
East_Siberian,1997,Jun,6,1997-06-01,extent,1303359.444
East_Siberian,1998,Jun,6,1998-06-01,extent,1303711.475
East_Siberian,1999,Jun,6,1999-06-01,extent,1303711.475
East_Siberian,2000,Jun,6,2000-06-01,extent,1303603.966
East_Siberian,2001,Jun,6,2001-06-01,extent,1303711.475
East_Siberian,2002,Jun,6,2002-06-01,extent,1299013.987
East_Siberian,2003,Jun,6,2003-06-01,extent,1302537.712
East_Siberian,2004,Jun,6,2004-06-01,extent,1303625.726
East_Siberian,2005,Jun,6,2005-06-01,extent,1284031.512
East_Siberian,2006,Jun,6,2006-06-01,extent,1303328.778
East_Siberian,2007,Jun,6,2007-06-01,extent,1268031.069
East_Siberian,2008,Jun,6,2008-06-01,extent,1303626.224
East_Siberian,2009,Jun,6,2009-06-01,extent,1301158.2
East_Siberian,2010,Jun,6,2010-06-01,extent,1302434.919
East_Siberian,2011,Jun,6,2011-06-01,extent,1293662.255
East_Siberian,2012,Jun,6,2012-06-01,extent,1293898.242
East_Siberian,2013,Jun,6,2013-06-01,extent,1303539.667
East_Siberian,2014,Jun,6,2014-06-01,extent,1257329.43
East_Siberian,2015,Jun,6,2015-06-01,extent,1303482.303
East_Siberian,2016,Jun,6,2016-06-01,extent,1303045.562
East_Siberian,2017,Jun,6,2017-06-01,extent,1238029.944
East_Siberian,2018,Jun,6,2018-06-01,extent,1299576.736
East_Siberian,2019,Jun,6,2019-06-01,extent,1299093.106
East_Siberian,2020,Jun,6,2020-06-01,extent,1244542.168
East_Siberian,2021,Jun,6,2021-06-01,extent,1241461.227
East_Siberian,2022,Jun,6,2022-06-01,extent,1303132.773
East_Siberian,2023,Jun,6,2023-06-01,extent,1283877.669
East_Siberian,2024,Jun,6,2024-06-01,extent,1292882.68
East_Siberian,1979,Jul,7,1979-07-01,extent,1298781.016
East_Siberian,1980,Jul,7,1980-07-01,extent,1279619.033
East_Siberian,1981,Jul,7,1981-07-01,extent,1239639.759
East_Siberian,1982,Jul,7,1982-07-01,extent,1293233.588
East_Siberian,1983,Jul,7,1983-07-01,extent,1289228.261
East_Siberian,1984,Jul,7,1984-07-01,extent,1295881.094
East_Siberian,1985,Jul,7,1985-07-01,extent,1277328.727
East_Siberian,1986,Jul,7,1986-07-01,extent,1232062.517
East_Siberian,1987,Jul,7,1987-07-01,extent,1267407.581
East_Siberian,1988,Jul,7,1988-07-01,extent,1277632.318
East_Siberian,1989,Jul,7,1989-07-01,extent,1182203.207
East_Siberian,1990,Jul,7,1990-07-01,extent,884493.784
East_Siberian,1991,Jul,7,1991-07-01,extent,1174331.932
East_Siberian,1992,Jul,7,1992-07-01,extent,1100284.288
East_Siberian,1993,Jul,7,1993-07-01,extent,1059609.518
East_Siberian,1994,Jul,7,1994-07-01,extent,1300893.308
East_Siberian,1995,Jul,7,1995-07-01,extent,1260462.075
East_Siberian,1996,Jul,7,1996-07-01,extent,1297714.585
East_Siberian,1997,Jul,7,1997-07-01,extent,1253122.621
East_Siberian,1998,Jul,7,1998-07-01,extent,1295723.687
East_Siberian,1999,Jul,7,1999-07-01,extent,1293421.403
East_Siberian,2000,Jul,7,2000-07-01,extent,1228398.36
East_Siberian,2001,Jul,7,2001-07-01,extent,1269330.147
East_Siberian,2002,Jul,7,2002-07-01,extent,1137351.819
East_Siberian,2003,Jul,7,2003-07-01,extent,1201948.276
East_Siberian,2004,Jul,7,2004-07-01,extent,1283272.685
East_Siberian,2005,Jul,7,2005-07-01,extent,1150413.15
East_Siberian,2006,Jul,7,2006-07-01,extent,1230848.535
East_Siberian,2007,Jul,7,2007-07-01,extent,880870.576
East_Siberian,2008,Jul,7,2008-07-01,extent,1250151.136
East_Siberian,2009,Jul,7,2009-07-01,extent,1116668.094
East_Siberian,2010,Jul,7,2010-07-01,extent,1200895.816
East_Siberian,2011,Jul,7,2011-07-01,extent,1075417.042
East_Siberian,2012,Jul,7,2012-07-01,extent,1124672.588
East_Siberian,2013,Jul,7,2013-07-01,extent,1206027.217
East_Siberian,2014,Jul,7,2014-07-01,extent,1171691.371
East_Siberian,2015,Jul,7,2015-07-01,extent,1013369.609
East_Siberian,2016,Jul,7,2016-07-01,extent,1087819.496
East_Siberian,2017,Jul,7,2017-07-01,extent,869934.137
East_Siberian,2018,Jul,7,2018-07-01,extent,1218765.391
East_Siberian,2019,Jul,7,2019-07-01,extent,1039816.682
East_Siberian,2020,Jul,7,2020-07-01,extent,789361.934
East_Siberian,2021,Jul,7,2021-07-01,extent,927131.267
East_Siberian,2022,Jul,7,2022-07-01,extent,1174131.582
East_Siberian,2023,Jul,7,2023-07-01,extent,1042245.084
East_Siberian,2024,Jul,7,2024-07-01,extent,1068879.583
East_Siberian,1979,Aug,8,1979-08-01,extent,1229206.807
East_Siberian,1980,Aug,8,1980-08-01,extent,1149508.502
East_Siberian,1981,Aug,8,1981-08-01,extent,1009481.226
East_Siberian,1982,Aug,8,1982-08-01,extent,1197767.79
East_Siberian,1983,Aug,8,1983-08-01,extent,1170682.158
East_Siberian,1984,Aug,8,1984-08-01,extent,1193336.046
East_Siberian,1985,Aug,8,1985-08-01,extent,1183087.522
East_Siberian,1986,Aug,8,1986-08-01,extent,1094495.823
East_Siberian,1987,Aug,8,1987-08-01,extent,977897.811
East_Siberian,1988,Aug,8,1988-08-01,extent,1121362.79
East_Siberian,1989,Aug,8,1989-08-01,extent,823231.113
East_Siberian,1990,Aug,8,1990-08-01,extent,453581.516
East_Siberian,1991,Aug,8,1991-08-01,extent,820922.186
East_Siberian,1992,Aug,8,1992-08-01,extent,810551.866
East_Siberian,1993,Aug,8,1993-08-01,extent,694746.791
